Error word & consecutive word,Corrected words & its,Annotation
10கனநீர் உலைகள்,10கணநீர் உலைகள்,வேற்றெழுத்து
அகளவிரித்து,அகலவிரித்து,வேற்றெழுத்து
அணைத்து ஊழியர்களுக்குமான,அனைத்து ஊழியர்களுக்குமான,வேற்றெழுத்து
அதள பாதாளதுக்கு,அதல பாதாளத்துக்கு,வேற்றெழுத்து
அதற்குறிய தீர்வுகளை,அதற்குரிய தீர்வுகளை,வேற்றெழுத்து
அதற்கேற்றார்போல அதன்,அதற்கேற்றாற்போல அதன்,வேற்றெழுத்து
அந்நியமாக நடந்தது,"அன்னியமாக,அன்னியமாக்க நடந்தது",வேற்றெழுத்து
அம்பிலாந்துறை,அம்பிளாந்துறை,வேற்றெழுத்து
அரவனைத்துச் செல்கின்ற,அரவணைத்துச் செல்கின்ற,வேற்றெழுத்து
அருவறுப்பாக நினைக்கிறார்கள்,அறுவறுப்பாக நினைக்கிறார்கள்,வேற்றெழுத்து
அர்ப்பனிப்பு தேவை,அர்ப்பணிப்பு தேவை,வேற்றெழுத்து
அழற,அலற,வேற்றெழுத்து
அழைக்கழிக்கப்பட்டு அந்தரத்தில்,அலைக்கழிக்கப்பட்டு அந்தரத்தில்,வேற்றெழுத்து
அளவுகோள்களை நிர்ணயிக்கும்,அளவுகோல்களை நிர்ணயிக்கும்,வேற்றெழுத்து
அறிவிப்பானைக்கு அடுத்த,அறிவிப்பாணைக்கு அடுத்த,வேற்றெழுத்து
அனு ஆயுதக்,அணு ஆயுதக்,வேற்றெழுத்து
அனுகப்பட,அணுகப்பட,வேற்றெழுத்து
அனுகிறார்,அணுகுகிறார்,வேற்றெழுத்து
அனுகுகின்றனர் என்றார்,அணுகுகின்றனர் என்றார்,வேற்றெழுத்து
அனுகுண்டு வெடித்தது,அணுக்குண்டு வெடித்தது,வேற்றெழுத்து
அனுகுமுறை வேண்டும்,அணுகுமுறை வேண்டும்,வேற்றெழுத்து
அனுபவங்கலை வழங்கினார்கள்,அனுபவங்களை வழங்கினார்கள்,வேற்றெழுத்து
அன்மைக்காலங்களில் கடந்த,அண்மைக்காலங்களில் கடந்த,வேற்றெழுத்து
ஆகியவற்ரின் படைப்பாளர்களுக்கும்,ஆகியவற்றின் படைப்பாளர்களுக்கும்,வேற்றெழுத்து
ஆட்கொள்கிரார்களோ அவர்களே,ஆட்கொள்கிறார்களோ அவர்களே,வேற்றெழுத்து
ஆட்சேபணைக்குரிய பதிவு,ஆட்சேபனைக்குரிய பதிவு,வேற்றெழுத்து
ஆவனங்களை ஒப்படைக்க,ஆவணங்களை ஒப்படைக்க,வேற்றெழுத்து
ஆளாபணையோடு பாடல்,ஆலாபனையோடு பாடல்,வேற்றெழுத்து
ஆளுனரால் அனுப்பி,ஆளுநரால் அனுப்பி,வேற்றெழுத்து
ஆளுனரான சுரேன்,ஆளுநரான சுரேன்,வேற்றெழுத்து
ஆளுனர் குழுவின்,ஆளுநர் குழுவின்,வேற்றெழுத்து
இடப்பெயற்சி,இடப்பெயர்ச்சி,வேற்றெழுத்து
இயக்குனராக இருந்த,"இயக்குநராக,இயக்குநராக்க இருந்த",வேற்றெழுத்து
இயக்குனராகவும்,"இயக்குநராகவும்,இயக்குநராக்கவும்",வேற்றெழுத்து
இயக்குனருமான உதயநிதி,இயக்குநருமான உதயநிதி,வேற்றெழுத்து
இயக்குனரும் சமூகச்,இயக்குநரும் சமூகச்,வேற்றெழுத்து
இயக்குனரே,இயக்குநரே,வேற்றெழுத்து
இயக்குனர் என்ற,இயக்குநர் என்ற,வேற்றெழுத்து
இயக்குனர் என்னை,இயக்குநர் என்னை,வேற்றெழுத்து
இயக்குனர் சேது,இயக்குநர் சேது,வேற்றெழுத்து
இயக்குனர் சேரனையும்,இயக்குநர் சேரனையும்,வேற்றெழுத்து
இயக்குனர் டாக்டர்,இயக்குநர் டாக்டர்,வேற்றெழுத்து
இயக்குனர் பூஜா,இயக்குநர் பூஜா,வேற்றெழுத்து
இயக்குனர் மகேந்திரனைப்,இயக்குநர் மகேந்திரனைப்,வேற்றெழுத்து
இயக்குனர் மற்றும்,இயக்குநர் மற்றும்,வேற்றெழுத்து
இயக்குனர் ஜெகன்,இயக்குநர் ஜெகன்,வேற்றெழுத்து
இயக்குனர்கள் மத்தியில்,இயக்குநர்கள் மத்தியில்,வேற்றெழுத்து
இயக்குனர்கள் மற்றும்,இயக்குநர்கள் மற்றும்,வேற்றெழுத்து
இயற்கை வழங்களை,இயற்கை வளங்களை,வேற்றெழுத்து
இரன்டாவது மகனை,இரண்டாவது மகனை,வேற்றெழுத்து
இரன்டு மொழிகளில்,இரண்டு மொழிகளில்,வேற்றெழுத்து
இருனூறு ரூபாயும்,இருநூறு ரூபாயும்,வேற்றெழுத்து
இலங்கலை படிப்பை,இளங்கலை படிப்பை,வேற்றெழுத்து
இவையணைத்தையும் வைத்து,இவையனைத்தையும் வைத்து,வேற்றெழுத்து
இழந்திருக்கிரர்கள் என்று,இழந்திருக்கிறார்கள் என்று,வேற்றெழுத்து
இழைப்பறலாம்,இளைப்பாறலாம்,வேற்றெழுத்து
இனையமைச்சர் சஞ்சய்,இணையமைச்சர் சஞ்சய்,வேற்றெழுத்து
ஈடுபட்டிறுந்த வரையாடுகளும்,ஈடுபட்டிருந்த வரையாடுகளும்,வேற்றெழுத்து
உட்பிறிவோடு,உட்பிரிவோடு,வேற்றெழுத்து
உதரனத்திற்கு,உதாரணத்திற்கு,வேற்றெழுத்து
உரிமைகலும் இச்சட்டப்படி,உரிமைகளும் இச்சட்டப்படி,வேற்றெழுத்து
உலகலாவிய சவால்களை,உலகளாவிய சவால்களை,வேற்றெழுத்து
உலகலாவியத் தாக்கத்தை,உலகளாவிய தாக்கத்தை,வேற்றெழுத்து
உள்ளினைதலில் உள்ள,உள்ளிணைத்தலில் உள்ள,வேற்றெழுத்து
உள்ளினைதலுக்கான நிதி,உள்ளிணைத்தலுக்கான நிதி,வேற்றெழுத்து
உறுதுனையாக இருப்பார்கள்,உறுதுணையாக இருப்பார்கள்,வேற்றெழுத்து
எணக்கு முக்கியம்,எனக்கு முக்கியம்,வேற்றெழுத்து
எண்ணிணீர்கள் என்று,எண்ணினீர்கள் என்று,வேற்றெழுத்து
எண்முறைக் கல்வியறிவு,என்முறை கல்வியறிவு,வேற்றெழுத்து
எண்னை மாற்றாமலேயே,எண்ணை மாற்றாமலேயே,வேற்றெழுத்து
எண்னைக்கொண்டு விகடகவி,எண்ணைக்கொண்டு விகடகவி,வேற்றெழுத்து
எழிழும் நிறைந்த,எழிலும் நிறைந்த,வேற்றெழுத்து
எழுந்துள்லது,எழுந்துள்ளது,வேற்றெழுத்து
எழும்பாக இருக்ககூடும்,எலும்பாக இருக்கக்கூடும்,வேற்றெழுத்து
என்ணிக்கையில் உயர்கல்வி,எண்ணிக்கையில் உயர்கல்வி,வேற்றெழுத்து
என்பதற்குறிய காரணங்களை,என்பதற்குரிய காரணங்களை,வேற்றெழுத்து
ஒருங்கினைக்கப்படாத தொழிலென்பது,ஒருங்கிணைக்கப்படாத தொழிலென்பது,வேற்றெழுத்து
ஒருங்கினைப்பை மட்டுமே,ஒருங்கிணைப்பை மட்டுமே,வேற்றெழுத்து
ஒன்ரு இரண்டு,ஒன்று இரண்டு,வேற்றெழுத்து
ஓட்டுனராகப் பணிபுரியும்,ஓட்டுநராகப் பணிபுரியும்,வேற்றெழுத்து
ஓட்டுனருக்கு வாக்கி,ஓட்டுநருக்கு வாக்கி,வேற்றெழுத்து
ஓட்டுனரை விசாரணைக்காக,ஓட்டுநரை விசாரணைக்காக,வேற்றெழுத்து
ஓட்டுனர் இதைப்பார்த்து,ஓட்டுநர் இதைப்பார்த்து,வேற்றெழுத்து
ஓட்டுனர் உரிமம்,ஓட்டுநர் உரிமம்,வேற்றெழுத்து
ஓட்டுனர் நாராயணன்,ஓட்டுநர் நாராயணன்,வேற்றெழுத்து
கடப்பாறை கம்பியால்,கடப்பாரைக் கம்பியால்,வேற்றெழுத்து
கடுங்கண் மூச்சிழைப்பு,கடுங்கண் மூச்சிளைப்பு,வேற்றெழுத்து
கணவு நினைவாய்,கனவு நினைவாய்,வேற்றெழுத்து
கண்கானித்து வருவதாக,கண்காணித்து வருவதாக,வேற்றெழுத்து
கண்னிகளாக உள்ளன,கண்ணிகளாக உள்ளன,வேற்றெழுத்து
கம்பெணியினை,கம்பெனியினை,வேற்றெழுத்து
கலையிழந்தே காணப்படுகிறது,களையிழந்தே காணப்படுகிறது,வேற்றெழுத்து
கவணிக்கப்பட்டுக் கொண்டுதான்,கவனிக்கப்பட்டுக் கொண்டுதான்,வேற்றெழுத்து
கற்பளிப்பு போன்றவைக்கு,கற்பழிப்பு போன்றவற்றிற்கு,வேற்றெழுத்து
கனக்கில் காட்டி,கணக்கில் காட்டி,வேற்றெழுத்து
கனையாழி பெற்றதையும்,கணையாழி பெற்றதையும்,வேற்றெழுத்து
கன்ணாடிகூட ஒரே,கண்ணாடிகூட ஒரே,வேற்றெழுத்து
கன்னகி நகர்,கண்ணகி நகர்,வேற்றெழுத்து
காலத்திர்க்கானவை,காலத்திற்கானவை,வேற்றெழுத்து
காலவரையரையற்று விடுமுறை,காலவரையறையற்று விடுமுறை,வேற்றெழுத்து
கீழ்கானும் உயர்,கீழ்க்காணும் உயர்,வேற்றெழுத்து
குரங்கனி மலை,குரங்கணி மலை,வேற்றெழுத்து
குழுக்கலின் பல்வேறு,குழுக்களின் பல்வேறு,வேற்றெழுத்து
கேள்விக்குரியாகவே இருக்கும்,கேள்விக்குறியாகவே இருக்கும்,வேற்றெழுத்து
கேள்விக்குறியதாகவே இருக்கிறது,கேள்விக்குரியதாகவே இருக்கிறது,வேற்றெழுத்து
கையால்வதன் மூலம்,கையாள்வதன் மூலம்,வேற்றெழுத்து
கொழுத்திப்போட,கொளுத்திப்போட,வேற்றெழுத்து
கொளுந்து விட்டு,கொழுந்து விட்டு,வேற்றெழுத்து
கொளுந்துவிட்டு எரிந்த,கொழுந்துவிட்டு எரிந்த,வேற்றெழுத்து
கொள்ளளாம் எனவும்,கொள்ளலாம் எனவும்,வேற்றெழுத்து
சமனிலைகளை,சமநிலைகளை,வேற்றெழுத்து
சமூகப்பின்னனியில்,சமூகப்பின்னணியில்,வேற்றெழுத்து
சில்லரை முதலீட்டாளர்கள்,சில்லறை முதலீட்டாளர்கள்,வேற்றெழுத்து
சில்லரை வர்த்தகர்களும்,சில்லறை வர்த்தகர்களும்,வேற்றெழுத்து
சில்லரை விற்பனை,சில்லறை விற்பனை,வேற்றெழுத்து
சில்லரை விற்பனையிலும்,சில்லறை விற்பனையிலும்,வேற்றெழுத்து
சீக்கிறம் வந்துடு,சீக்கிரம் வந்துடு,வேற்றெழுத்து
சீர்குழைந்து விடுகிறது,சீர்குலைந்து விடுகிறது,வேற்றெழுத்து
சுற்றுலாத்தளம்,சுற்றுலாத்தலம்,வேற்றெழுத்து
சொக்கபாணையில் திருக்கோயில்,சொக்கப்பனையில் திருக்கோயில்,வேற்றெழுத்து
சோளிங்கநல்லூர்,சோழிங்கநல்லூர்,வேற்றெழுத்து
தகறாறுகள் ஏற்படுவது,தகராறுகள் ஏற்படுவது,வேற்றெழுத்து
தரவிரக்கம் செய்துள்ளனர்,தரவிறக்கம் செய்துள்ளனர்,வேற்றெழுத்து
தரையிரங்க 2,தரையிறங்க 2,வேற்றெழுத்து
தவிற வேறு,தவிர வேறு,வேற்றெழுத்து
தவிற்க்கப்பட வேண்டும்,தவிர்க்கப்பட வேண்டும்,வேற்றெழுத்து
திண்ணும்,தின்னும்,வேற்றெழுத்து
திண்பண்டங்களை வாங்கிக்,தின்பண்டங்களை வாங்கிக்,வேற்றெழுத்து
திண்னை பிரசாரம்,திண்ணைப் பிரசாரம்,வேற்றெழுத்து
திருநீர் வைத்தி,திருநீறு வைத்தி,வேற்றெழுத்து
திருவல்லிக்கேனி பகுதியிலுள்ள,திருவல்லிக்கேணி பகுதியிலுள்ள,வேற்றெழுத்து
தினறலால் பொதுமக்கள்,திணறலால் பொதுமக்கள்,வேற்றெழுத்து
துரோகமிளைக்கிறது,துரோகமிழைக்கிறது,வேற்றெழுத்து
துள்ளியமாக இருந்தது,துல்லியமாக இருந்தது,வேற்றெழுத்து
துனைத்தலைவர்,துணைத்தலைவர்,வேற்றெழுத்து
தேர்வுகாலை தெரிவு,தேர்வுகாளைத் தெரிவு,வேற்றெழுத்து
தேனீர் விருந்து,தேநீர் விருந்து,வேற்றெழுத்து
தொணியிலும் பலவகையில்,தொனியிலும் பலவகையில்,வேற்றெழுத்து
தொழிநுட்பங்களை வழங்க,தொழினுட்பங்களை வழங்க,வேற்றெழுத்து
தொழிநுட்பம் சார்ந்த,தொழினுட்பம் சார்ந்த,வேற்றெழுத்து
தொழிற்நுட்ப நிறுவனமான,தொழினுட்ப நிறுவனமான,வேற்றெழுத்து
தொழிற்நுட்பம் பயன்படுத்தப்படும்,தொழினுட்பம் பயன்படுத்தப்படும்,வேற்றெழுத்து
நகரான்மைக்கழக,நகராண்மைக்கழக,வேற்றெழுத்து
நடத்துனர் காவலர்களால்,நடத்துநர் காவலர்களால்,வேற்றெழுத்து
நடத்துனர் பசும்பொன்,நடத்துநர் பசும்பொன்,வேற்றெழுத்து
நடந்தேரிய இடமும்,நடந்தேறிய இடமும்,வேற்றெழுத்து
நடைபெறுகிரது,நடைபெறுகிறது,வேற்றெழுத்து
நாங்கு சக்கர,நான்கு சக்கர,வேற்றெழுத்து
நாங்குனேரியில் காங்கிரஸ்,நாங்குநேரியில் காங்கிரஸ்,வேற்றெழுத்து
நிகேதன் பண்ணாட்டு பள்ளியில்,நிகேதன் பன்னாட்டுப் பள்ளியில்,வேற்றெழுத்து
நிபுனர்களைப் பெற்றிருக்கிறேன்,நிபுணர்களைப் பெற்றிருக்கிறேன்,வேற்றெழுத்து
நிரூபனம் செய்யப்பட்டும்,நிரூபணம் செய்யப்பட்டும்,வேற்றெழுத்து
நிறப்பி சமர்ப்பிக்கலாம்,நிரப்பி சமர்ப்பிக்கலாம்,வேற்றெழுத்து
நிறப்புவதில் சிறமம்,நிரப்புவதில் சிரமம்,வேற்றெழுத்து
நினைவுகூறப்படுகிறது,நினைவுகூரப்படுகிறது,வேற்றெழுத்து
நினைவுகூறுகிறார்,நினைவுகூருகிறார்,வேற்றெழுத்து
நினைவுகூறும்,நினைவுகூரும்,வேற்றெழுத்து
நினைவுகூறும் விதமாக,நினைவுகூரும் விதமாக,வேற்றெழுத்து
நின்றவாரே தூங்கும்,நின்றவாறே தூங்கும்,வேற்றெழுத்து
நுண்னறிவின் முன்கூற்றிற்கான,நுண்ணறிவின் முன்கூற்றிற்கான,வேற்றெழுத்து
நுண்னறிவு,நுண்ணறிவு,வேற்றெழுத்து
நுன்னுணர்வு,நுண்ணுணர்வு,வேற்றெழுத்து
நெறிக்கி கொலை,நெருக்கிக்/நெரித்துக் கொலை,வேற்றெழுத்து
பகுதிகளிளும் பரவலாக,பகுதிகளிலும் பரவலாக,வேற்றெழுத்து
பணிபுறிபவர்,பணிபுரிபவர்,வேற்றெழுத்து
பதறுகளுக்கு நாம்,பதர்களுக்கு நாம்,வேற்றெழுத்து
பதினென்,பதினெண்,வேற்றெழுத்து
பதினோறு டி,பதினோர் டி,வேற்றெழுத்து
பயண்படுத்தப்படுகின்றன,பயன்படுத்தப்படுகின்றன,வேற்றெழுத்து
பயண்படுத்தும் இடமாகவும்,பயன்படுத்தும் இடமாகவும்,வேற்றெழுத்து
பயண்பாடு ஆவசியம்,பயன்பாடு ஆவசியம்,வேற்றெழுத்து
பயனச்சீட்டுடன் தனியாக,பயணச்சீட்டுடன் தனியாக,வேற்றெழுத்து
பயனப்படுவதும்,பயணப்படுவதும்,வேற்றெழுத்து
பயன்பெரும் வாய்ப்பை,பயன்பெறும் வாய்ப்பை,வேற்றெழுத்து
பயிற்றுனர் பணிக்கு,பயிற்றுநர் பணிக்கு,வேற்றெழுத்து
பயிற்றுனர்களின் தரவுத்தளம்,பயிற்றுநர்களின் தரவுத்தளம்,வேற்றெழுத்து
பயிற்றுனர்களுக்கு பயிற்றுவித்தலில்,பயிற்றுநர்களுக்குப் பயிற்றுவித்தலில்,வேற்றெழுத்து
பயிற்றுனர்கள்,பயிற்றுநர்கள்,வேற்றெழுத்து
பலியாணவர்களின் எண்ணிக்கை,பலியானவர்களின் எண்ணிக்கை,வேற்றெழுத்து
பல்கழைக்கழகத்தில்,பல்கலைக்கழகத்தில்,வேற்றெழுத்து
பல்ளியிலிருந்து இடைநின்ற,பள்ளியிலிருந்து இடைநின்ற,வேற்றெழுத்து
பழந்திண்ணி,பழந்தின்னி,வேற்றெழுத்து
பழவாற்றில் கிராம,பலவாற்றில் கிராம,வேற்றெழுத்து
பழுதூக்கும் வண்டிதான்,பளுதூக்கும் வண்டிதான்,வேற்றெழுத்து
பறிமாற விருப்பமாக,பரிமாற விருப்பமாக,வேற்றெழுத்து
பறிமாறப்படவில்லை,பரிமாறப்படவில்லை,வேற்றெழுத்து
பறிமாறிக்கொள்கின்றன,பரிமாறிக்கொள்கின்றன,வேற்றெழுத்து
பறிமாற்றம் இல்லை,பரிமாற்றம் இல்லை,வேற்றெழுத்து
பறிமாற்றம் மூலமாகதான்,பரிமாற்றம் மூலமாகதான்,வேற்றெழுத்து
பன்பட்டு வரும்,பண்பட்டு வரும்,வேற்றெழுத்து
பிண்ணடைவுகள் என,பின்னடைவுகள் என,வேற்றெழுத்து
பிரமான பிரகடனத்தின்,பிரமாணப் பிரகடனத்தின்,வேற்றெழுத்து
பிராமனர்களை இழிவுபடுத்தும்,பிராமணர்களை இழிவுபடுத்தும்,வேற்றெழுத்து
பின்ணணி,பின்னணி,வேற்றெழுத்து
பின்நோக்கி அழைத்து,பின்னோக்கி அழைத்து,வேற்றெழுத்து
பின்னனி பாடகி,பின்னணிப் பாடகி,வேற்றெழுத்து
பீறிட்டுக் கொண்டிருக்கிறது,பீரிட்டுக் கொண்டிருக்கிறது,வேற்றெழுத்து
பீறிட்டுக்கொண்டு,பீரிட்டுக்கொண்டு,வேற்றெழுத்து
புணர்வாழ்வு என்கிற,புனர்வாழ்வு என்கிற,வேற்றெழுத்து
புதுப்பொளிவை தருக,புதுப்பொலிவைத் தருக,வேற்றெழுத்து
புனர்வாழ்வு அளிக்கப்பட்டு,புணர்வாழ்வு அளிக்கப்பட்டு,வேற்றெழுத்து
பெண்னை அறைந்த,பெண்ணை அறைந்த,வேற்றெழுத்து
பெருகிற வாய்ப்பைத்,பெறுகிற வாய்ப்பைத்,வேற்றெழுத்து
பெரும்பாளானோர் இதில்,பெரும்பாலானோர் இதில்,வேற்றெழுத்து
பெரும்போது தேவர்களுக்கும்,பெறும்போது தேவர்களுக்கும்,வேற்றெழுத்து
பெரும்போதெல்லாம்,பெறும்போதெல்லாம்,வேற்றெழுத்து
பொருத்தவரையில்,பொறுத்தவரையில்,வேற்றெழுத்து
பொருத்தவரையில் தந்தைபெரியாருக்குப்,பொறுத்தவரையில் தந்தைபெரியாருக்குப்,வேற்றெழுத்து
பொருத்திருந்து பாருங்கள்,பொறுத்திருந்து பாருங்கள்,வேற்றெழுத்து
பொருத்தே,பொறுத்தே,வேற்றெழுத்து
பொருப்பாளர்கள் தூக்கியடிக்கப்படுவார்கள்,பொறுப்பாளர்கள் தூக்கியடிக்கப்படுவார்கள்,வேற்றெழுத்து
பொருப்புடனும் கவனத்துடனும்,பொறுப்புடனும் கவனத்துடனும்,வேற்றெழுத்து
பொருப்புணர்வோடும்,பொறுப்புணர்வோடும்,வேற்றெழுத்து
பொறுட்கள் விற்பனையகம்,பொருட்கள் விற்பனையகம்,வேற்றெழுத்து
பொறுத்தப்பட்டிருக்க,பொருத்தப்பட்டிருக்க,வேற்றெழுத்து
பொறுத்தப்பட்டிருந்த கேமரா,பொருத்தப்பட்டிருந்த கேமரா,வேற்றெழுத்து
பொறுத்தமான,பொருத்தமான,வேற்றெழுத்து
பொறுத்தமான ஆள்,பொருத்தமான ஆள்,வேற்றெழுத்து
பொறுத்தமான கற்பித்தல்,பொருத்தமான கற்பித்தல்,வேற்றெழுத்து
மடிக்கணிணி உதவியுடன்,மடிக்கணினி உதவியுடன்,வேற்றெழுத்து
மடிக்கணிணியில் இந்த,மடிக்கணினியில் இந்த,வேற்றெழுத்து
மணங்குளிரும் எழிழும்,மனங்குளிரும் எழிழும்,வேற்றெழுத்து
மண்ணித்துவிட வேண்டியும்,மன்னித்துவிட வேண்டியும்,வேற்றெழுத்து
மண்ணென்ணெய் தீர்ந்த,மண்ணெண்ணெய் தீர்ந்த,வேற்றெழுத்து
மருந்தாளுனர்,மருந்தாளுநர்,வேற்றெழுத்து
மல்லாங்கிணர் பகுதியைச்,மல்லாங்கிணறு பகுதியைச்,வேற்றெழுத்து
மழைவாழ் மக்கள்,மலைவாழ் மக்கள்,வேற்றெழுத்து
மனமகள் பற்றிய,மணமகள் பற்றிய,வேற்றெழுத்து
மனமகன்,மணமகன்,வேற்றெழுத்து
மனவுலைச்சலே ஏற்படுகிறது,மனவுளைச்சலே ஏற்படுகிறது,வேற்றெழுத்து
மாபெறும் அரசியல்,மாபெரும் அரசியல்,வேற்றெழுத்து
மாற்றுத்திரனாளிகளும் பயன்படுத்தக்கூடிய,மாற்றுத்திறனாளிகளும் பயன்படுத்தக்கூடிய,வேற்றெழுத்து
முடியும் தருவாயில் இருக்கும்,முடியும் தறுவாயில் இருக்கும்,வேற்றெழுத்து
முட்டைப்பொறியலும்,முட்டைப்பொரியலும்,வேற்றெழுத்து
முண்ணனி தலைவர்,முன்னணித் தலைவர்,வேற்றெழுத்து
முந்தாணையை இழுத்துச்,முந்தானையை இழுத்துச்,வேற்றெழுத்து
முந்தினம் மாலையில்,முன்தினம் மாலையில்,வேற்றெழுத்து
முல்லைப்பெரியார்,முல்லைப்பெரியாறு,வேற்றெழுத்து
முனுமுனுப்பும் இன்றி,முணுமுணுப்பும் இன்றி,வேற்றெழுத்து
முன்நகர்கிறார் ஆசிரியை,முன்னகர்கிறார் ஆசிரியை,வேற்றெழுத்து
முன்நிபந்தனை ஆகியவை,முன்னிபந்தனை ஆகியவை,வேற்றெழுத்து
முன்நிறுத்துவதோடு,முன்னிறுத்துவதோடு,வேற்றெழுத்து
முன்நிறுத்துவதோடு மட்டுமல்லாமல்,முன்னிறுத்துவதோடு மட்டுமல்லாமல்,வேற்றெழுத்து
முன்னனி கல்வி,முன்னணிக் கல்வி,வேற்றெழுத்து
முன்னனி நடிகையாக,முன்னணி நடிகையாக,வேற்றெழுத்து
முன்னூறு ஆண்டுகளுக்கு,முந்நூறு ஆண்டுகளுக்கு,வேற்றெழுத்து
மேலான்மையில் பங்கெடுக்கச்,மேலாண்மையில் பங்கெடுக்கச்,வேற்றெழுத்து
மேற்குறியவாறு,மேற்கூறியவாறு,வேற்றெழுத்து
மேற்கொள்லும் ஏஜென்சிகள்,மேற்கொள்ளும் ஏஜென்சிகள்,வேற்றெழுத்து
ரசாயண பொருட்கள்,ரசாயனப் பொருட்கள்,வேற்றெழுத்து
